ProductSK,SourceProductKey,ProductCode,ProductWarehouseCode,ProductDescription,ProductDescription2,ProductCategoryCode,ProductCategory,ProductMainCategoryCode,ProductMainCategory,WarehouseCode,Warehouse,WarehouseShort,ProcessCode,ProcessCodeDescription,AlphaName,BrandCode,BrandName,BrandRate,UnitOfMeasure_Stk,UnitOfMeasure_Alt,WeightConversion,UnitOfMeasure_Case,SourceSystems,LatestProductKeyVersion,IsCurrentRecordFlag,product_description,category_description,brand_name,product_code
452321,2,34200009,34200009-1,Pork Ham Tavern Superior,4/cs,34,Pork Hams,3,Pork,1,Cooler,Other,900.0,Other,HAM,,,,LB,CS,1.0,CS,Anmar,1,1,Pork Ham Tavern Superior 4/cs,Pork Hams,,34200009
422949,1,999999,999999-1,MATRIX PRICING PRODUCT,,99,Non Product,9,Misc/Other,1,Main Warehouse,Main,,Other,MATRIX PRICI,,,,LB,CS,1.0,CS,Pritzlaff,2,0,MATRIX PRICING PRODUCT,Non Product,,999999
452313,1,999999,999999-1,MATRIX PRICING PRODUCT,,99,Non Product,9,Misc/Other,1,Main Warehouse,Main,1.0,Box in box out,MATRIX PRICI,,,,LB,CS,1.0,CS,Pritzlaff,1,1,MATRIX PRICING PRODUCT,Non Product,,999999
422957,2,34200009,34200009-1,Pork Ham Tavern Superior,4/cs,34,Pork Hams,3,Pork,1,Cooler,Other,,Other,HAM,,,,LB,CS,1.0,CS,Anmar,2,0,Pork Ham Tavern Superior 4/cs,Pork Hams,,34200009
65654,1,999999,999999-1,MATRIX PRICING PRODUCT,,99,Non Product,9,Misc/Other,1,Main Warehouse,Main,1.0,Box in box out,MATRIX PRICI,,,,LB,CS,1.0,CS,Pritzlaff,3,0,MATRIX PRICING PRODUCT,Non Product,,999999
452535,32,10019891,10019891-1,BF CHUCK BI ARM/SEC CH *__,113A USDA CHOICE,103,Beef Chuck,10,Beef,1,Fulton Main,Main,1.0,Box in box out,BFCHUCKBIA,464.0,USDA,0.0,LB,CS,1.0,CS,Fulton,1,1,BF CHUCK BI ARM/SEC CH *__ 113A USDA CHOICE,Beef Chuck,USDA,10019891
423161,20,100101,100101-1,BF CHUCK SCOTCH TENDER NR AME,116B-1 USDA NO ROLL,103,Beef Chuck,10,Beef,1,Fulton Main,Main,,Other,BFCHUCKSCO,16.0,AMERICAN,0.0,LB,CS,1.0,CS,Fulton,2,0,BF CHUCK SCOTCH TENDER NR AME 116B-1 USDA NO ROLL,Beef Chuck,AMERICAN,100101
252669,20,100101,100101-1,BF CHUCK SCOTCH TENDER NR AME,116B-1 USDA NO ROLL,103,Beef Chuck,10,Beef,1,Fulton Main,Main,4.0,Other,BFCHUCKSCO,16.0,AMERICAN,0.0,LB,CS,1.0,CS,Anmar,4,0,BF CHUCK SCOTCH TENDER NR AME 116B-1 USDA NO ROLL,Beef Chuck,AMERICAN,100101
452475,20,100101,100101-1,BF CHUCK SCOTCH TENDER NR AME,116B-1 USDA NO ROLL,103,Beef Chuck,10,Beef,1,Fulton Main,Main,1.0,Box in box out,BFCHUCKSCO,16.0,AMERICAN,0.0,LB,CS,1.0,CS,Fulton,1,1,BF CHUCK SCOTCH TENDER NR AME 116B-1 USDA NO ROLL,Beef Chuck,AMERICAN,100101
136175,20,100101,100101-1,BF CHUCK SCOTCH TENDER NR AME,116B-1 USDA NO ROLL,103,Beef Chuck,10,Beef,1,Fulton Main,Main,1.0,Box in box out,BFCHUCKSCO,16.0,AMERICAN,0.0,LB,CS,1.0,CS,Fulton,3,0,BF CHUCK SCOTCH TENDER NR AME 116B-1 USDA NO ROLL,Beef Chuck,AMERICAN,100101
